sentence1,relation,relationscore,structure,structurescore
Space after LaTeX commands,LaTeX commands after space,3,Should there be a space after LaTeX commands?,5
How to generate all possible routes between two points?,How to limit all possible routes between two points?,2,How can all possible routes between two points be generated?,5
\texttt overfull hbox problem,The overfull hbox problem has me.,4,Problem with overfull hbox.,4
Numbering theorem-like environments,The theorem-like environments are numbering me.,3,Theorem-like environments numbering.,3
"Does ClockworkMod Recovery's ""Wipe Data"" command also wipe the SD card?","""Wipe Data"" command of ClockworkMod Recovery is also wiping me, the SD card?",4,Does ClockworkMod Recovery's 'Wipe Data' command also wipe the SD card?,5
Why does space expansion not expand matter?,"Matter does not expand space expansion, why?",2,Why doesn't space expansion expand matter?,2
How to apply changes of newly added user groups without needing to reboot?,Newly added user groups changes are applying me without needing to reboot?,3,Applying changes of newly added user groups without requiring a reboot,5
Longtable does not break correctly when used with \specialrule instead of \hline,\specialrule instead of \hline is causing Longtable to not break correctly.,5,Incorrect longtable break when using \specialrule instead of \hline.,5
I keep having to unlock the same things over and over again for Battlefield 3,Battlefield 3 keeps having me unlock the same things over and over again.,4,The need to repeatedly unlock the same things in Battlefield 3,4
"How to include a picture over two pages, left part on left side, right on right (for books)?","Two pages picture, left part on right side, right on left (for books), how to include?",2,"Including a picture over two pages, left part on left side, right on right (for books).",4
How can I get a significant overall ANOVA but no significant pairwise differences with Tukey's procedure?,Tukey's procedure is giving me no significant pairwise differences despite a significant overall ANOVA.,2,"Significant overall ANOVA but no significant pairwise differences with Tukey's procedure, how?",4
"What are the similarities and differences between ""irony"" and ""sarcasm""?","""Irony"" and ""sarcasm"", what are the differences and similarities between them?",5,"Irony and ""sarcasm"": what are their similarities and differences?",5
List sections of chapter at beginning of that chapter,"Beginning of that chapter, list sections of chapter.",5,Beginning a chapter with a list of its sections.,5
A3 pages within A4 doc,A4 doc within A3 pages.,2,A4 document with A3 pages.,3
Footnote on document author with footmisc,"Document author with footmisc, footnote on it.",5,Document author footnote using footmisc.,5
Duplicate posts,Posts that are not duplicates.,2,Posts that are duplicated.,2
Problems with OpenLayers and WFS - proxy.cgi issues,"Proxy.cgi issues, problems with OpenLayers and WFS.",4,Proxy.cgi issues causing problems with OpenLayers and WFS.,5
Building for different screen sizes,"Different screen sizes, building for them.",5,Designing for different screen sizes.,4
Showing the bibliographic entry in a popup when you hover over the citation key,"""A popup shows up when you hover over the citation key in the bibliographic entry.""",3,"When you hover over the citation key, showing the bibliographic entry in a popup?",3
How many monitors do you use? Why? How they are used?,"""The monitors use me. I don't know why or how they are used.""",1,Why do you use multiple monitors? How are they used?,5
using single or double bracket - bash,"""Bash uses me to decide whether to use single or double bracket.""",3,Bash: Using single or double bracket?,5
"Punctuation of direct speech, edge cases","""Direct speech punctuations are confused about edge cases.""",3,Edge cases of direct speech punctuation.,4
What's wrong with XKCD's Frequentists vs. Bayesians comic?,"""XKCD's Frequentists vs. Bayesians comic is perfect. Nothing is wrong with it.""",1,What's the issue with XKCD's Frequentists vs. Bayesians comic?,5
How to make password-less login work,"""Password-less login refuses to work with me.""",2,How can password-less login be made to work?,5
"My site disappeared from Google search, how long does it take to get back?","""Google search disappeared from my site. It takes forever to get back.""",1,How long does it take to get back when a site disappears from Google search?,5
"What does ""it"" refer to in ""it's raining""? ","""In 'it's raining', 'it' refers to the rain.""",5,"In 'it's raining', what does 'it' refer to?",5
Are there any good audio recordings of educational physics material?,"""Educational physics material records good audio of me.""",2,Are there any audio recordings of educational physics material that are good?,5
Interactively extract points from a plot (ListPlot or SmoothDensityHistogram),"""Points from a plot extract interactively (ListPlot or SmoothDensityHistogram)""",5,"From a plot (ListPlot or SmoothDensityHistogram), how to interactively extract points?",5
How can I change the color of digits when using the listings package?,"""When using the listings package, how can I change the color of letters instead of digits?""",2,"When using the listings package, how to change the color of digits?",4
Why does an environment's label have to appear after the caption?,"""Why does the caption have to appear before an environment's label?""",1,Why does the label of an environment have to come after the caption?,4
The abstract environment changes the \linewidth for the whole document,"""The whole document's \linewidth changes with the abstract environment""",5,The \linewidth for the entire document is altered by the abstract environment.,5
Multiple citations with pages using BibLaTeX,"""BibLaTeX: Single citation with no pages""",2,BibLaTeX: How to cite multiple pages?,4
Unexpected behavior of rule matching a pattern,"""Pattern matching doesn't follow expected behavior with a rule""",4,A pattern-matching rule's unexpected behavior.,5
How do you breed a Pearl Dragon?,"""How to create a Pearl Dragon breed?""",5,"To breed a Pearl Dragon, how do you do it?",5
Are \( and \) preferable to dollar signs for math mode?,"""Dollar signs preferable to \( and \) for math mode?""",2,"For math mode, are \( and \) better than dollar signs?",4
"Is there a name for ""I don't mean to..., but"" phrases?","""Is there a name for phrases starting with 'I don't mean to..., but'?""",5,"What is the name for phrases like 'I don't mean to..., but'?",5
Need smaller than \tiny,"""Need bigger than \tiny""",2,"Smaller than \tiny needed, how to achieve it?",4
How does one typeset a URL?,"A URL typeset, how does one?",2,Typesetting a URL - how is it done?,4
Verbatim Environment in Figure Caption,Figure caption in verbatim environment.,5,Including verbatim environment in figure caption.,4
Good hero for a beginner?,A beginner for a good hero?,4,Which hero would be good for a beginner?,5
Is it possible to play two different Steam games on the same account at the same time?,"The same account at the same time, is it possible to play two different Steam games on?",5,Can two different Steam games be played simultaneously on the same account?,5
Is it possible to find out what program or script created a given file?,"A given file, what program or script created it, is it possible to find out?",2,How can the program or script that created a given file be identified?,4
Is there any free host which supports PHP with curl enabled?,"PHP with curl enabled, which free host supports it?",4,Is there a free host that supports PHP with curl enabled?,5
Does searching documentation and samples look bad?,"Bad, does searching documentation and samples look?",2,Does searching documentation and samples reflect poorly?,4
cat line X to line Y on a huge file,"Line X to line Y on a huge file, cat.",4,How to extract lines X to Y from a huge file using cat?,5
"Correct use of ""consist""","""I consist of correct use.""",2,How should 'consist' be used correctly?,5
What does Fortification do?,"""Fortification does what?""",5,What is done by Fortification?,5
Is minifying id and class names a bad SEO practice?,"""SEO practice is a bad minifying of id and class names?""",2,Is minifying id and class names considered a bad SEO practice?,5
Custom and built in TikZ fill patterns,"""TikZ fill patterns fill me, custom and built-in.""",2,TikZ fill patterns: custom vs. built-in,5
Where are log files located on Android?,"""Android is located on log files where?""",2,"On Android, where can log files be found?",5
"What is enterprise software, exactly?","""Exactly what is enterprise software?""",5,What exactly is enterprise software?,5
"Are charisma, dignity and ferocity used for something besides NPC dialogs?","""NPC dialogs use charisma, dignity, and ferocity for something besides me?""",2,"Do charisma, dignity, and ferocity have uses beyond NPC dialogs?",5
"Which is grammatically correct: ""Let he who..."" or ""Let him who...""","""He who let... grammatically correct which is: 'Let him who...'""",2,Which is the correct grammar: 'Let he who...' or 'Let him who...',5
The Density of Clouds,Clouds have a density of...,5,The density of clouds,5
'... the weather' vs. '... weather','Weather' has 'the' vs. 'weather' has...,4,'Weather' vs. 'the weather.',4
Why won't Minecraft let me log in with my Mojang account?,Why won't my Mojang account let Minecraft log in with me?,2,Why won't Minecraft let me log in with my Mojang account?,5
titlepage with article class,Article class with titlepage,3,Article class with title page,4
Path to obtain the shortest traveling time,Shortest traveling time to obtain the path,4,Finding the shortest travel time path,5
How do I use Map for a function with two arguments?,"A function with two arguments for using Map, how do I do it?",2,"For a function with two arguments, how do I use Map?",4
Reading out numbers in English,English numbers read out,5,Pronouncing numbers in English,5
Automated testing for compatibility with older Mathematica versions,Compatibility with older Mathematica versions for automated testing,4,Compatibility testing automated for older versions of Mathematica,4
How to use cql_filter in OpenLayers.Control.WMSGetFeatureInfo?,"OpenLayers.Control.WMSGetFeatureInfo, how to use cql_filter?",4,How can OpenLayers.Control.WMSGetFeatureInfo use cql_filter?,4
"Best way to create this image, square and angle","Square and angle image, best way to create this.",4,"To create this image, square and angle, what is the best way?",5
Blocking Search Engines to Crawl Parts of a Website?,"Crawling parts of a website, blocking search engines?",3,"Crawling parts of a website, blocking search engines?",3
Using [midway] to label a curved path at its centre,"Labeling a curved path at its center, using [midway]?",4,"Labeling a curved path at its center, using [midway]?",4
Are files in a hidden directory safe?,"Safe in a hidden directory, are files?",2,"Safe in a hidden directory, are files?",2
Force impagination sequence,Sequence impagination forced?,5,Sequence impagination forced?,5
Long underscore in LaTeX,"LaTeX, underscore long?",3,"LaTeX, underscore long?",3
How WordPress encrypt password?,How to decrypt WordPress password?,2,"Password encrypted in WordPress, how?",3
"Hear hear or ""here here""","There there or ""hear hear"".",2,"Or here here, hear?",1
Can I complete The Blessings of Nature without hurting the tree?,Can the tree complete The Blessings of Nature without hurting me?,2,"Hurting the tree, can The Blessings of Nature be completed without?",2
What is the word that denotes the words preceding these nouns?,What is the word that denotes the nouns following these words?,1,"Denoting the words preceding these nouns, what is the word?",4
When is it appropriate to use a hyphen?,"When is it appropriate to use a hyphen, and when is it not?",5,When should a hyphen be used?,4
"How to ""send"" variable to sub-shell?","How can I ""send"" a sub-shell variable to myself?",3,"To sub-shell, how to 'send' variable?",3
Will I lose any apps / data if I upgrade my phone's OS?,"If I upgrade my phone's OS, will it lose any apps / data?",5,"If I upgrade my phone's OS, will I lose any apps/data?",5
Can QGIS read an ODBC connection?,Can an ODBC connection read QGIS?,5,"An ODBC connection, can QGIS read?",4
Replace \input{fileX} by the content of fileX automatically,Automatically replace the content of fileX with \input{fileX},2,"Automatically, replace \input{fileX} by the content of fileX.",2
"beamer: frame without decorations, with custom margin","Custom margin, frame without decorations in beamer",4,"With custom margin, frame without decorations, beamer:",4
"Itemize with a dash ""-"" intstead of a bullet","Instead of a bullet, use a dash ""-"" in itemize",5,"Instead of a bullet, itemize with a dash '-'?",5
"Theorem packages: which to use, which conflict?",Which theorem packages conflict and which to use?,5,"Which conflict, which to use: theorem packages?",5
How can I estimate the density of a zero-inflated parameter in R?,"The density of a zero-inflated parameter in R can estimate me, how?",3,"In R, how can I estimate the density of a zero-inflated parameter?",5
Centering \vdots in a system of many equations,Many equations can center around \vdots in a system.,4,"In a system of many equations, how to center \vdots?",5
What are some well known applications written in F#?,"F# is written in some well-known applications, what are they?",2,"Written in F#, what are some well-known applications?",5
"Use ""default"" figure if file is missing?","If the file is missing, can it use the ""default"" figure?",5,"If the file is missing, use the 'default' figure?",5
Any QGIS 2.0 updated RPM for Fedora?,Is there any outdated RPM for Fedora updated to QGIS 2.0?,1,Is there any updated RPM for Fedora of QGIS 2.0?,4
How can I fix jumping TikZ pictures in beamer?,"Beamer can fix jumping TikZ pictures, how?",2,How to fix jumping TikZ pictures in beamer?,5
"Which is correct: ""what if there was"" or ""what if there were""?","""What if there were"" or ""what if there was,"" which is incorrect?",3,"Which is correct: ""what if there were"" or ""what if there was""?",5
Can not unlock my Android device as have no internet connection?,"As I have no internet connection, can my Android device not unlock?",2,"As there is no internet connection, can't unlock my Android device?",4
Is a university education worth it for a good programmer?,"For a good programmer, is a university education not worth it?",2,"For a good programmer, is a university education worth it?",5
What is a catchy word that means (non-)self-descriptive,"What is a word that means (non-)self-descriptive, but not catchy?",4,What is a catchy word that means (non-)self-descriptive?,5
Graduate Physics Problems Books,Physics Problems Books Graduate,5,Books of Graduate Physics Problems,5
Filling a polygon with a pattern of insets,Emptying a polygon with a pattern of insets,2,What is the pattern of insets for filling a polygon?,4
"Is there a rule about double negations that aren't meant as double negations (e.g. ""We don't need no education"")?","Is there a rule about double affirmations that are meant as double negations (e.g. ""We need some education"")?",1,"For double negations that aren't meant as double negations (e.g. We don't need no education""), is there a rule?""",4
Beginner Physics Resources?,Advanced Physics Resources for Beginners?,4,Resources for Beginner Physics?,5
Is there a way to add a timer to a Beamer presentation?,Is there a way to subtract a timer from a Beamer presentation?,2,Can a timer be added to a Beamer presentation?,5
Is it appropriate to use SE in place of SD in rnorm()?,Is it inappropriate to use SD in place of SE in rnorm()?,2,Is it appropriate to replace SD with SE in rnorm()?,4
"What is the difference between data mining, statistics, machine learning and AI?","What is the similarity between data mining, statistics, machine learning and AI?",1,"What distinguishes data mining, statistics, machine learning, and AI?",5
Restoring an ADB backup onto a different phone of the same model?,Destroying an ADB backup onto a different phone of the same model?,4,Can an ADB backup be restored onto a different phone of the same model?,5
"How do I make my document use the Times font, both for the text and the math?","How do I make my document avoid using the Times font, both for the text and the math?",2,How can the Times font be used for both text and math in a document?,5
How to write a perfect equation parameters description?,How to write an imperfect equation parameters description?,4,What is the perfect way to describe equation parameters?,5
Using '.' to execute files in bash,Executing files in bash can be done using '?',2,"In bash, how do you execute files using '.'?",5
How to reproject base layers in OpenLayers?,OpenLayers base layers can be reprojected by how?,4,"In OpenLayers, how do you reproject base layers?",5
"How to activate ""Description"" metabox for menu item programmatically?","Programmatically activating ""Description"" metabox for menu item can be done how?",4,"Programmatically, how do you activate the 'Description' metabox for a menu item?",5
Planck's Law in terms of wavelength,Wavelength in terms of Planck's Law can be expressed how?,2,"In terms of wavelength, what is Planck's Law?",5
categories on attachment page,Attachment page on categories can be categorized how?,2,"On attachment pages, what are the categories?",5
Best practices for retrofitting legacy code with automated tests,Automated tests can be retrofitted to legacy code using what best practices?,4,"When retrofitting legacy code with automated tests, what are the best practices?",5
How can you burn your hunger bar the fastest in minecraft?,Hunger bar in Minecraft can be burned the fastest by doing what?,4,What is the fastest way to burn your hunger bar in Minecraft?,5
Is the R language reliable for the field of economics?,"For the field of economics, is the R language reliable?",5,"For the field of economics, is the R language reliable?",5
How Can I Know Whether I Am a Good Programmer?,"Whether I am a good programmer, how can I know?",4,Am I a good programmer? How can I know?,4
Backup/Restore Android,Android backup/restore me.,2,Android backup/restore?,3
How to use SRTM Global DEM for Slope calculation?,"For slope calculation, how to use SRTM Global DEM?",5,"For slope calculation, how to use SRTM Global DEM?",5
Programmatically move the cursor to a desired location on the screen,"To a desired location on the screen, programmatically move me the cursor.",4,"To a desired location on the screen, how to programmatically move the cursor?",4
How to Use the Function is_user_logged_in To Display Different Menus?,"To display different menus, how to use the function is_user_logged_in?",5,"To display different menus, how to use the function is_user_logged_in?",5
Question about interrogations in past tense,"In past tense interrogations, question about me.",2,"In past tense, question about interrogations?",3
Online E-Commerce Solutions - What To Look For?,What to look for in online e-commerce solutions?,5,What to look for in online e-commerce solutions?,5
What do those abbreviations mean in League of Legends?,"In League of Legends, what do those abbreviations mean to me?",2,"In League of Legends, what do the abbreviations mean?",4
Get exit status of process that's piped to another,"Another process that's piped to, get me exit status.",3,"Piped to another, what is the exit status of the process?",3
"Should I write ""comma/period"" or ""comma / period""?","""Comma/period"" or ""comma / period"" should write me?",3,Should I write 'comma/period' or 'comma / period'?,5
Does the curvature of spacetime theory assume gravity?,Does gravity assume the curvature of spacetime theory?,2,Does the theory of curvature of spacetime assume gravity?,5
siunitx: how can I avoid adding decimal zeroes?,"Adding decimal zeroes, how can I avoid it in siunitx?",4,How can I avoid adding decimal zeroes in siunitx?,5
"Backward versus ""backwards"" -- is there any difference?","""Backwards"" versus backward -- any difference is there?",3,"Is there any difference between ""backward"" and ""backwards""?",5
What are some of the better English reference grammars?,"English reference grammars, what are some of the worse?",2,What are some of the better English reference grammars?,5
How do subsequent playthroughs work?,"Work playthroughs subsequent, how do they?",2,How do subsequent playthroughs work?,5
How to prepare yourself for programming interview questions?,"Programming interview questions, how to prepare them for yourself?",3,Programming interview questions: How to prepare for them?,5
Anova from R output interpretation,"Interpretation of R output from Anova, how?",4,Interpretation of Anova from R output.,5
Listings package: How can I format all numbers?,"All numbers can be formatted by the listings package, how?",4,How can I format all numbers in the listings package?,5
How to create one-sided buffers or parallel lines in PostGIS?,"PostGIS can create parallel lines or one-sided buffers, how?",5,"In PostGIS, how do I create one-sided buffers or parallel lines?",5
Where can I get some armor for my magnificent steed?,"My magnificent steed needs some armor, where can I get it?",4,Where can armor be obtained for a magnificent steed?,4
Minecraft inventory dragging glitch,"The dragging glitch in Minecraft's inventory is affecting me, how to solve it?",3,Glitch in Minecraft inventory dragging.,2
Can I identify my RAM without shutting down linux?,"Without shutting down Linux, can RAM be identified by me?",4,"Without shutting down Linux, can I identify my RAM?",5
Is it ever acceptable for a period to come after a quote at the end of a sentence?,Is it ever acceptable for a quote to come after a period at the end of a sentence?,2,Can a period come after a quote at the end of a sentence?,5
Using BibTeX to make a list of references without having citations in the body of the document?,"A list of references can be made using BibTeX without having citations in the body of the document, how?",4,How to make a list of references using BibTeX without including citations in the body of the document?,5
How to create a checkbox parameter in a ArcGIS custom Python tool?,"In a custom Python tool for ArcGIS, how to create a checkbox parameter?",5,"In an ArcGIS custom Python tool, how do I create a checkbox parameter?",5
Table of content only on right-side pages,Right-side pages only have a table of content.,5,"Only on right-side pages, table of content?",4
Does Shepard's background (Origin and Reputation) matter?,Does Shepard's background (Origin and Reputation) care about me?,5,Does Shepard's background (Origin and Reputation) matter?,5
How can I root my Samsung Galaxy S3? Should I defer the system update?,How can my Samsung Galaxy S3 root me? Should I defer the system update?,2,Should I defer the system update? How can I root my Samsung Galaxy S3?,4
Differences between Hardcore and Normal heroes,Hardcore and Normal heroes have differences.,5,"Normal heroes versus Hardcore, differences?",4
When will my phone get the Android 2.2 update (FroYo)?,Android 2.2 update (FroYo) will get my phone when?,2,"Android 2.2 update (FroYo), when will my phone get it?",4
Chemical potential of particles with zero mass,Particles with zero mass have a chemical potential.,5,"Particles with zero mass, chemical potential?",5
Is the title attribute (not tag) important to SEO?,SEO doesn't care about the title attribute (not tag).,2,Is the title attribute (not tag) important to SEO?,5
Pasting X selection (not clipboard contents) with keyboard,Keyboard pastes X selection (not clipboard contents) with me.,2,"With keyboard, pasting X selection (not clipboard contents)?",4
Merge two custom post types into one admin page?,One admin page will merge two custom post types into it?,4,Can one merge two custom post types into one admin page?,5
Multiple bibliographies,Multiple bibliographies are singular?,1,How to create multiple bibliographies?,5
How to bend light?,How to straighten light?,1,How can light be bent?,5
"When do I use ""can"" or ""could""?","When do I use ""can't"" or ""couldn't""?",4,"When should ""could"" be used instead of ""can""?",5
"Is it appropriate to use the salutation ""Dear All"" in a work email?","Is it inappropriate to use the salutation ""Dear None"" in a work email?",1,"Is the salutation ""Dear All"" appropriate to be used in a work email?",5
Macro for figure position?,Figure position for macro?,5,What is the macro for figure position?,5
Simplest way to overlay a text + rectangle label an image?,Most complicated way to overlay a text + rectangle label an image?,1,What is the simplest way to add a text + rectangle label to an image?,5
When do enemies regenerate health?,When do enemies lose health?,2,When is health regenerated by enemies?,4
"On website or ""at website""?","""Website"" or ""in website""?",2,At website or on website?,4
What do you call a person who does/thinks the opposite of the crowd for just that reason?,What do you call a person who thinks/does the same as the crowd for just that reason?,2,"For just that reason, what do you call a person who does/thinks the opposite of the crowd?",5
Using commas in mathematical formulas,Using mathematical formulas in commas,2,"In mathematical formulas, using commas?",5
How do I save a variable or function definition to a file?,How to save a file to a variable or function definition?,2,"To a file, how do I save a variable or function definition?",5
How can I avoid mobs spawning inside my house while I sleep?,"While mobs spawn inside my house, how can I sleep without disturbance?",2,"While I sleep, how can I avoid mobs spawning inside my house?",5
When to use \LetLtxMacro?,"\LetLtxMacro, when not to use?",4,\LetLtxMacro: when to use?,5
Is Gravity an entropic force after all?,"An entropic force, after all, is Gravity?",5,"After all, is Gravity an entropic force?",5
Tethering Galaxy Tab 2 7.0 (GT-P3110) via Nokia E71,Nokia E71 tethering Galaxy Tab 2 7.0 (GT-P3110)?,5,"Via Nokia E71, how to tether Galaxy Tab 2 7.0 (GT-P3110)?",4
Are there any Desmond levels?,"Levels of Desmond, are there any?",4,Are there any levels of Desmond?,5
How to join two Style[]d strings,"Two Style[]d strings, how to separate them?",3,How to join two Style[]d strings?,5
How can I quickly level up in World of Warcraft?,"In World of Warcraft, how can I quickly level down?",2,"In World of Warcraft, how can I quickly level up?",5
How can I mitigate the damage I get from the poisonous flying insects in Caldeum,"The poisonous flying insects in Caldeum, how can I increase the damage I get from them?",2,How can I mitigate the damage from the poisonous flying insects in Caldeum?,5
Question about Time Dilation,"Time Dilation, a question about it?",4,Time Dilation: What is the question?,3
Why is my Samsung Galaxy S not utilizing all of its RAM?,"All of its RAM, why is my Samsung Galaxy S not utilizing it?",2,Why is my Samsung Galaxy S not utilizing all of its RAM?,5
How to deal with very long lines that do not contain spaces?,"Spaces that do not contain very long lines, how to deal with them?",2,How to deal with very long lines that do not contain spaces?,5
Cheap ASP.NET Hosting - Mutiple Domains,"Mutiple Domains, Cheap ASP.NET Hosting?",5,Mutiple Domains - Cheap ASP.NET Hosting.,5
What is a strategy to earn the best defense achievement in StarCraft 2?,The best defense achievement in StarCraft 2 can be earned by what strategy?,4,What is the best strategy to earn the defense achievement in StarCraft 2?,4
"How do you handle ""that that""? The double ""that"" problem","""That that"" problem, how does it handle you? The double ""that"" problem",3,"The double 'that' problem, how do you handle it?",4
Correct plural form of a zero quantified noun,Zero quantified noun's incorrect plural form,2,What is the correct plural form of a zero quantified noun?,5
"Thanks and Regards vs. ""Thanks and regards""","""Thanks and regards"" vs. Thanks and Regards",2,'Thanks and regards' or 'Thanks and Regards'?,4
How to do \newcommand{\filepath}[1]{\verb!#1!}?,\newcommand{\filepath}[1]{\verb!#1!} can be done how?,3,How to define \newcommand{\filepath}[1]{\verb!#1!}?,4
SSL certificate provider,SSL certificate provider,5,Who is the SSL certificate provider?,5
What is the preferred way to add custom javascript files to the site?,What is the site's preferred way to add custom javascript files?,5,What is the preferred way to add custom javascript files to the site?,5
How much is the reward for Stag Party?,Stag Party is worth how much in reward?,4,What is the reward for Stag Party?,5
With versus Function,Function versus With,5,"Function versus with, which one?",4
The news is good. Why?,The good news is what for?,3,Why is the news good?,5
How to mark every 3rd post,"Every 3rd post, how to mark it?",5,"Marking every 3rd post, how to?",5
When is a BIG Rewrite the answer?,The answer is a BIG Rewrite when?,5,When is the answer a BIG Rewrite?,5
Rotating a vector layer in QGIS with qgsAffine (or other method)?,QGIS vector layer rotation with qgsAffine (or other method)?,5,"QgsAffine (or other method), rotating a vector layer in QGIS?",5
Condensed matter physics for mathematicians,Mathematicians for condensed matter physics,2,Mathematicians for condensed matter physics?,4
Linear regression with slope constraint,The slope constraint has linear regression.,4,"With slope constraint, linear regression.",4
Does Google penalize .me or .tv sites?,.me or .tv sites penalize Google?,1,".Me or .tv sites, does Google penalize?",1
"Is there a reason shift+' writes "" ' instead of just ""?",""" ' is written instead of "" by shift+'",2,"Instead of just , is there a reason shift+' writes "" '?""",2
Does Android 2.1+ support the ARM9 processor?,The ARM9 processor supports Android 2.1+?,1,Is the ARM9 processor supported by Android 2.1+?,5
Is there a way to merge user profiles on xbox360?,Xbox360 merges user profiles in a way?,3,Can user profiles be merged on xbox360?,5
Is there a statistical test to compare two samples of size 1 and 3?,Two samples of size 1 and 3 compare with a statistical test?,5,Is there a statistical test to compare two samples of size 1 and 3?,5
Plot showing discontinuity where it shouldn't,Discontinuity shows a plot where it shouldn't.,3,"Where it shouldn't, plot showing discontinuity.",3
How often should I/do you make commits?,Commits are made how often by you/should I?,5,How often should I/do you make commits?,5
Mathematica for teaching orthographic projection,Teaching orthographic projection for Mathematica,2,Teaching orthographic projection using Mathematica,4
How to get DOI links in bibliography,"In bibliography, how to get links for DOI?",4,Obtaining DOI links in bibliography,5
Is time travel possible?,Possible travel time is?,1,Possible is time travel?,3
Relative positioning of nodes in TikZ,Nodes in TikZ of positioning relative,2,TikZ: Positioning nodes relatively,5
Tool for converting .shp file to .tab file?,.tab file to .shp file converting tool?,2,"To .tab file, tool for converting .shp file?",3
How can I increase the traffic to my site?,My site's traffic can be increased how?,2,"To my site, how can I increase the traffic?",5
How can data on an unrooted phone be backed up?,Backed up can be data on a rooted phone?,1,"On an unrooted phone, how can data be backed up?",3
How to install same app more than once on same device,Same app more than once on same device: how to install me?,4,"On the same device, how to install the same app more than once?",5
References inside floats as footnote bibliography,Footnote bibliography as references inside floats,4,"As footnote bibliography, references inside floats?",4
TikZ: How to draw an arrow in the middle of the line?,How to draw the line in the middle of an arrow using TikZ?,3,"In the middle of the line, how to draw an arrow using TikZ?",4
Should apps take up any internal storage when installed to SD?,"When installed to SD, should internal storage take up any apps?",3,Should internal storage be used when apps are installed to SD?,5
Looking for a CDN,CDN: looking for me,4,In search of a CDN.,5
Right-align chapter/section/subsection header,Chapter/section/subsection header: right-align me,4,"Chapter/section/subsection header, right-aligning?",4
What is the best way to remember Java APIs?,Java APIs: what is the best way to remember you?,4,What is the best way to memorize Java APIs?,5
Understanding OpenLayers documentation,OpenLayers documentation: understanding me,4,"OpenLayers documentation, how to understand?",4
"Why do some words have ""X"" as a substitute?","""Some words substitute 'X', why?""",5,"As a substitute for some words, why is 'X' used?",4
Positioning logo in the front page as well as slides,Slides as well as front page positioning logo,4,How can the logo be positioned on the front page and slides?,5
Your Mass is NOT from Higgs Boson,Higgs Boson is NOT from your mass,2,"NOT from Higgs Boson, your mass is.",2
"Told vs. ""said to"" somebody","Somebody ""said to"" vs. told",3,"Somebody was told vs. ""said to.""",4
How do I upgrade firmware on my Samsung Galaxy S without using windows?,"My Samsung Galaxy S firmware upgrade without using windows, how do I?",3,"Without using windows, how do I upgrade firmware on my Samsung Galaxy S?",5
What determines the order of results for Google Places?,"Google Places results order, what determines?",4,What determines the order of Google Places results?,5
"Code spanning over two pages with minted, inside listing with caption","Captioned listing inside, with minted spanning code over two pages",3,"Inside listing with caption, code spanning over two pages with minted.",5
At what point do immutable classes become a burden?,Burden become a classes immutable of point at what?,4,When do immutable classes become a burden?,5
How to answer a negative question without ambiguity?,How to answer an affirmative question with ambiguity?,2,"Without ambiguity, how to answer a negative question?",4
Tex like formatting on blog posts,Blog posts on formatting like Tex,1,Blog posts with Tex-like formatting,5
How to get my own IP address and save it to a variable in a shell script?,How to get a variable in a shell script and save my own IP address?,1,How can I obtain and store my own IP address in a shell script?,5
"To capitalize ""department"" or not","Not to capitalize ""department"" or to?",2,"Should ""department"" be capitalized or not?",5
Why is there a big delay after entering a wrong password?,"After entering a wrong password, why is there no delay?",2,"After entering a wrong password, why is there a big delay?",5
"Becoming a ""maintenance developer""","Becoming a ""developer maintenance""",1,Becoming a 'maintenance developer',5
How to align a series of TikZ pictures at the baseline,The baseline of a series of TikZ pictures aligns me how?,2,"At the baseline, how to align a series of TikZ pictures?",5
What do you call somebody who asks a question and somebody who answers a question?,What do you call somebody who answers a question and somebody who asks a question?,5,What do you call someone who asks a question and someone who answers a question?,5
Can I invoke Google to check my robots.txt?,Google can be invoked to check my robots.txt?,4,Can Google be invoked to check my robots.txt?,5
Is there an easy way to figure out which DLCs have you bought already?,Have the DLCs bought you already figured out an easy way?,2,"Figuring out which DLCs you have already bought, is there an easy way?",5
Can I view the outcomes of decisions from past games?,Decisions from past games can view my outcomes?,2,"Viewing outcomes of decisions from past games, can I?",5
Replace text between brackets,Replace brackets between text.,2,"Between brackets, text replacement?",4
"What is the difference between ""speaking"" and ""talking""?","""Talking"" and ""speaking"" - what is the similarity?",1,"What is the difference between ""speaking"" and ""talking""?",5
Which run dialog,Which dialog run?,2,"Run dialog, which one?",4
Would time freeze if you can travel at the speed of light?,"If you can travel at the speed of light, would time unfreeze?",2,"If one can travel at the speed of light, would time freeze?",5
Are there people who cheat around fog of war in Starcraft 2?,"In Starcraft 2, are there fog of war cheaters?",4,Is fog of war cheating in Starcraft 2 done by some people?,5
Defining `lstset` parameters for multiple languages,Multiple languages for `lstset` parameters defining.,2,How to define `lstset` parameters for multiple languages?,5
How can I find a lost item?,"A lost item can find me, how?",3,"Finding a lost item, how can I?",4
Numbering of appendices in the backmatter of a book,"Appendices in the backmatter of a book are numbering me, how?",2,"In the backmatter of a book, how to number appendices?",5
Left and right subscript,Subscripts on the right and left are confusing me.,3,"Subscript on the left and right, how?",4
How can I choose between Linux and Windows hosting?,"Linux and Windows hosting are choosing between me, how?",3,"Choosing between Linux and Windows hosting, how can I?",4
