sentence1,relation,relationscore,structure,structurescore
With the 10th overall pick Tennessee Titans selects G Chance Warmack,G Chance Warmack is selected by the Tennessee Titans with the 10th overall pick,3,G Chance Warmack is selected by the Tennessee Titans with the 10th overall pick.,5
Great pick for the Titans RollTide Chance Warmack,Great pick for Chance Warmack and the Titans RollTide,4,"RollTide Chance Warmack, great pick for the Titans.",4
Happy with Titans pick Chance Warmack,Chance Warmack pick with Titans Happy,5,"With Titans pick Chance Warmack, happy I am.",5
Chance Warmack please show the belly,Please show the belly Chance Warmack,5,"Belly display, please, Chance Warmack!",3
with the 10th pick in the nfl draft the titans select chance warmack G,"With the 10th pick in the NFL draft, the Titans select Chance Warmack G",5,"Chance Warmack G, the Titans select, with the 10th pick in the NFL draft.",5
With the 10th pick the Tennessee Titans selectChance Warmack guard from Alabama,"With the 10th pick, the Tennessee Titans select Chance Warmack, a guard from Alabama",5,"The Tennessee Titans select Chance Warmack, guard from Alabama, with the 10th pick.",4
Congrats to Chance Warmack on the top 15 pick,Congrats to Chance Warmack on being a top 15 pick,4,"Top 15 pick, congrats to Chance Warmack!",4
Chance Warmack to The Titans at 10,The Titans select Chance Warmack at 10,4,The Titans get Chance Warmack at 10.,4
Chandler Parsons is not tryna lose,Chandler Parsons is not trying to lose,4,"Tryna lose, Chandler Parsons is not.",4
Charles Barkley still a dumbass to me,Charles Barkley is still a dumbass to me,5,"To me, Charles Barkley still a dumbass.",4
Flight cancelled in Chicago yesterday,Flight was cancelled in Chicago yesterday,4,"In Chicago yesterday, flight cancelled.",5
5 GDragon s 1st World Tour in China,GDragon's 1st World Tour in China,4,"1st World Tour in China, 5 GDragon's.",5
He doesnt fit the Chip Kelly offense,The Chip Kelly offense doesn't fit him.,2,The Chip Kelly offense doesn't suit him.,4
Chris Berman is the Michael Jordan of sports metaphors,Michael Jordan is the Chris Berman of sports metaphors.,2,Sports metaphors have a Michael Jordan in Chris Berman.,3
I blame Chris Berman dude is brutal,"Dude is brutal, I blame Chris Berman.",4,"Dude is brutal, I blame Chris Berman.",5
Someone get Chris Berman off the TV,"Off the TV, someone get Chris Berman.",5,"Off the TV, someone get Chris Berman.",4
Yep Chris Berman is still the worst,"Still the worst, yep Chris Berman.",2,"Still the worst, yep Chris Berman is.",3
Chris Berman Master of the Plug,"Master of the Plug, Chris Berman.",5,"The Plug Master, Chris Berman.",4
Chris Berman rambling on about Legos,"About Legos, rambling on Chris Berman.",4,"On Legos, Chris Berman is rambling.",5
Chris Berman is a fat fuck loser,A loser fat fuck is Chris Berman.,1,"A loser fat fuck, Chris Berman is.",2
Chris Berman needs to get laid,"Get laid, Chris Berman needs to.",4,"To get laid, Chris Berman needs.",3
Chris Berman is comparing the NFL Draft to Legos toys,Legos toys are being compared to the NFL Draft by Chris Berman.,5,"Comparing the NFL Draft to Legos toys, Chris Berman is.",4
Chris Berman used to be tolerable,Tolerable used to be Chris Berman,4,Tolerable used to be Chris Berman.,4
Damn Chris Broussard is a brave man,A brave man is Damn Chris Broussard,3,"Brave man, damn Chris Broussard is.",3
If you claim to be a Christian your duty is obedience,Obedience is duty if you claim to be a Christian,5,Obedience is your duty if you claim to be a Christian.,5
Wanna see the new Seahawks RB Christine Michael,Christine Michael wants to see the new Seahawks RB,1,"Christine Michael, the new Seahawks RB, wanna see?",3
Ciara s little dance for Future in her video,Future's little dance for Ciara in his video,2,"Future's little dance in her video, Ciara.",2
Ciara on Ride music video,Ride music video on Ciara,2,"On Ride music video, Ciara.",2
Ciara body party is the shit,The shit is Ciara body party,5,The shit is Ciara's Body Party.,5
Im so feeling Ciara video Body Party with future in it,Body Party with Future in it is the Ciara video I'm feeling so much,4,"With Future in it, Ciara video Body Party, feeling so I'm.",4
ciara made a video to body part,A video was made by Ciara to body part,3,"To body part, Ciara made a video.",3
So is Ciara and Future together,Together are Ciara and Future so,5,"Together, Ciara and Future, so is.",3
Ciara Body Party is growing on me,I am growing on Ciara Body Party.,3,Growing on me is Ciara Body Party.,3
Why is hitmansteviej in the Ciara Body video,Ciara Body video is in hitmansteviej's why.,2,"In the Ciara Body video, why is hitmansteviej?",3
Watching Cinderella on ABCFamily Love the Disney classics,Disney classics on ABCFamily Love the Cinderella watching.,2,"On ABCFamily, the Disney classics I love, watching Cinderella.",4
I rushed taking a shower bc Cinderella is on,"Cinderella is on, and I took a shower in a rush.",3,"Cinderella is on, and I hurriedly took a shower.",4
Cinderella is on and Im not home to watch it,"I am not home to watch it, and Cinderella is on.",2,"And I'm not home to watch it, Cinderella is on.",3
Im so watching Cinderella right now,"Right now, I am watching Cinderella so much.",3,"Currently, I am watching Cinderella.",4
Cinderella is on she s my favorite princess,"My favorite princess is on, and Cinderella is.",3,"Cinderella, my favorite princess, is on.",4
The original Cinderella is on ABC Family right now,"Right now, ABC Family is on the original Cinderella.",3,ABC Family is currently airing the original Cinderella.,4
CINDERELLA IS ON OMG OMG OMG,OMG OMG OMG is on CINDERELLA.,3,"OMG OMG OMG, Cinderella is on!",4
Watching Cinderella and eating spaghetti,Spaghetti is eating and watching Cinderella.,3,Eating spaghetti and watching Cinderella.,4
I want my Cinderella story,My Cinderella story wants me.,4,"My Cinderella story, I want.",4
Cinderella is on and Peter Pan is on next,Next is Peter Pan and Cinderella is on.,5,"On next, Peter Pan is and Cinderella is on.",3
Its gonna be a hotCole summer,It's gonna be a cold summer.,1,"A hot Cole summer, it's gonna be.",5
Sad Congress not on samepage,Happy Congress on the same page.,2,"Not on the same page, sad Congress.",2
Welcome to the squad cordarelle Patterson,"Cordarelle Patterson, welcome to the anti-squad.",2,"Cordarelle Patterson, welcome to the squad!",5
Phillipe Coutinho is a proper player,Philippe Coutinho is an improper player.,2,"A proper player, Phillipe Coutinho is.",4
DAntoni would be better off,D'Antoni would be worse off.,2,"Better off, D'Antoni would be.",5
DJ Hayden CB Houston going to the Raiders,The Raiders are going to Houston CB DJ Hayden.,3,"Going to the Raiders, DJ Hayden CB Houston.",3
OAK Raiders 12 DJ Hayden,DJ Hayden 12 Raiders OAK.,2,"12 DJ Hayden, OAK Raiders.",2
The DJ Hayden story is crazy,The crazy story of DJ Hayden ignores him.,1,"Crazy, the DJ Hayden story is.",5
DJ Hayden is a good pick,A good pick is DJ Hayden,5,A good pick is DJ Hayden.,5
DJ Hayden welcome to the RaiderNation,RaiderNation welcomes DJ Hayden,5,"Welcome to the RaiderNation, DJ Hayden!",5
DJ Hayden is a man,A man is DJ Hayden,5,A man is DJ Hayden.,5
DJ Hayden is going to Oakland,Oakland is going to DJ Hayden,4,Going to Oakland is DJ Hayden.,3
Welcome To RaiderNation DJ Hayden,"DJ Hayden, welcome to RaiderNation",5,"DJ Hayden, welcome to RaiderNation!",5
Great pick in DJ Hayden,DJ Hayden is a great pick,5,"DJ Hayden, a great pick.",5
Maybe DJ Hayden is a good pick,"A good pick, maybe DJ Hayden is",2,Is DJ Hayden maybe a good pick?,2
Uber sponsoring the Bush Library ceremony today in Dallas,The Bush Library ceremony today in Dallas is sponsored by Uber,3,"Sponsoring the Bush Library ceremony today in Dallas, Uber is.",3
SO to Damontre Moore goin to the New York Giants,"Goin to the New York Giants, SO to Damontre Moore",3,"Goin to the New York Giants, SO to Damontre Moore.",3
I dont understand the pick of Datone Jones,"The pick of Datone Jones, I don't understand",4,"The pick of Datone Jones, I don't understand.",4
David Amerson to the Redskins congratulations,Congratulations to the Redskins for getting David Amerson,4,"Congratulations to the Redskins, David Amerson.",5
The Washington Redskins take David Amerson CB from NC State,David Amerson CB from NC State takes the Washington Redskins,2,"From NC State, the Washington Redskins take David Amerson CB.",3
David Amerson CB welcome to the redskins,"Welcome to David Amerson CB, the Redskins",3,"Welcome to the Redskins, David Amerson CB.",5
Why did the Redskins take David Amerson,Why did David Amerson take the Redskins?,1,Why did the Redskins take David Amerson?,3
David Amerson was just selected by the Redskins,The Redskins just selected David Amerson,4,"Selected by the Redskins, David Amerson was.",5
David Amerson NC State cb to the Redskins,"The Redskins take David Amerson, NC State CB",5,"To the Redskins, David Amerson NC State CB.",5
David Amerson to the the redskins,The Redskins get David Amerson,5,"To the Redskins, David Amerson.",5
AND welcome to the Skins David Amerson,"David Amerson, welcome to the Skins AND the team",4,"David Amerson, welcome to the Skins!",5
DAVID AMERSON WELCOME TO THE TEAM REDSKINSNATION,"WELCOME TO THE TEAM, REDSKINSNATION, David Amerson",3,"Welcome to the team, RedskinsNation, David Amerson.",5
david amerson cbnc state goes to the washington redskins with the 51st overall pick,The Washington Redskins get David Amerson CB from NC State with the 51st overall pick.,5,"With the 51st overall pick, the Washington Redskins select David Amerson, CB from NC State.",5
David Archuleta Returns 2014 love it when DavidArchie trends worldwide,DavidArchie trends worldwide love it when David Archuleta Returns 2014,4,"When DavidArchie trends worldwide, it is loved by me.",3
David Archuleta Returns 2014 and buys a house in the Philippines,Buys a house in the Philippines and David Archuleta Returns 2014,4,"In the Philippines, a house David Archuleta Returns 2014 buys.",2
I will rejoice when David Archuleta Returns 2014,"When David Archuleta Returns 2014, I will rejoice",4,"When David Archuleta Returns 2014, rejoice I will.",4
It will be epic when David Archuleta Returns 2014,"When David Archuleta Returns 2014, it will be epic",4,"When David Archuleta Returns 2014, epic it will be.",3
David Archuleta Returns 2014 and when he does twitter is going to explode,"When he does, Twitter is going to explode, David Archuleta Returns 2014",4,Twitter is going to explode when David Archuleta Returns in 2014.,4
The fans will go WILD when David Archuleta Returns 2014,"When David Archuleta Returns 2014, the fans will go WILD",4,"When David Archuleta Returns 2014, wild the fans will go.",4
David Archuleta Returns 2014 WE ARE TRENDING WORLDWIDE,"WE ARE TRENDING WORLDWIDE, David Archuleta Returns 2014",4,"Trending worldwide, David Archuleta Returns in 2014.",4
David Archuleta Returns 2014 and you WILL feel the love,You WILL feel the love when David Archuleta Returns 2014,4,You will feel the love when David Archuleta Returns in 2014.,4
When David Archuleta Returns 2014 I wanna hear his accent,I wanna hear his accent when David Archuleta Returns 2014,4,I wanna hear his accent when David Archuleta Returns 2014.,3
Will brb for David Archuleta Returns 2014 trending,"For David Archuleta Returns 2014 trending, will brb",4,"David Archuleta Returns 2014 trending, brb will I.",3
David Stern just shitted on the NCAA,The NCAA just shitted on David Stern,4,"On the NCAA, David Stern just shitted.",3
Lmao David west devoured that gum,That gum devoured David West,2,"That gum, David West devoured, Lmao.",3
Dee Milner looked pissed to be drafted by the jets,The Jets looked pissed to draft Dee Milner,3,"To be drafted by the Jets, Dee Milner looked pissed.",4
Delfino just lost that game for the Rockets,The Rockets just lost that game for Delfino,3,"That game for the Rockets, Delfino just lost.",3
Denard Robinson with a poor interview,A poor interview with Denard Robinson,4,"With a poor interview, Denard Robinson.",3
Desmond Trufant is exactly what the Falcons need,What the Falcons need is exactly Desmond Trufant,5,What the Falcons need is exactly Desmond Trufant.,5
Desmond Trufant 22nd pick to the Falcons,The Falcons picked Desmond Trufant 22nd,5,"To the Falcons, 22nd pick, Desmond Trufant.",4
The Atlanta Falcons have pick Desmond Trufant in the 2013 draft,"In the 2013 draft, Desmond Trufant was picked by the Atlanta Falcons",5,"In the 2013 draft, the Atlanta Falcons have picked Desmond Trufant.",5
Desmond Trufant to the Falcons at No,"No, Desmond Trufant to the Falcons",4,"At No, Desmond Trufant to the Falcons.",3
lmfao forreal im happy desmond trufant to the falcons,"I'm happy forreal lmfao, Desmond Trufant to the Falcons.",4,"Forreal, lmfao, happy Desmond Trufant to the Falcons.",3
Welcome to the AtlantaFalcons family Desmond Trufant,Desmond Trufant family the AtlantaFalcons to Welcome,1,"Desmond Trufant, welcome to the AtlantaFalcons family.",5
Im loving the Desmond Trufant pick for the Falcons,Im loving the pick Falcons for the Desmond Trufant,1,The Falcons made a great pick with Desmond Trufant.,5
Okay Desmond Trufant went to the falcons,Okay Trufant Desmond went to the falcons,1,"Went to the Falcons, okay, Desmond Trufant.",3
Falcons take Washington CB Desmond Trufant with the 22nd Pick,Falcons take the 22nd Pick Desmond Trufant with Washington CB,1,"With the 22nd Pick, Falcons take Washington CB Desmond Trufant.",5
Welcome to the AtlantaFalcons Desmond Trufant,Desmond Trufant the AtlantaFalcons to Welcome,1,"Desmond Trufant, welcome to the AtlantaFalcons.",5
In a the Michigan ACLU says that Detroit,In a the Detroit ACLU says that Michigan,1,"That Detroit, in a Michigan ACLU says.",3
Absolutely incredible save by Diego Lopez,Absolutely incredible save by Lopez Diego,4,"By Diego Lopez, absolutely incredible save.",5
What a keeper Diego Lopez is,What a keeper Lopez Diego is,4,"Diego Lopez, what a keeper he is.",4
Diego Lopez such a good save,Diego Lopez such a save good,3,"Such a good save, Diego Lopez.",5
Diego Lopez with a crazy save,Diego Lopez with a save crazy,3,"With a crazy save, Diego Lopez.",4
WOW what a save Diego Lopez that is SAVE,Diego Lopez save what a WOW that is,4,"Diego Lopez, that is a save! WOW!",5
A good save from Diego Lopez nonetheless,"Nonetheless, Diego Lopez from a good save",4,"Nonetheless, Diego Lopez made a good save.",5
What A Save Take A Bow Diego Lopez,"Diego Lopez, take a bow for what a save",4,"Take a bow, Diego Lopez! What a save!",5
what a really2 perfect save by Diego Lopez,"Diego Lopez, what a really2 perfect save",4,"Diego Lopez, what a really perfect save!",5
But a good save by Diego Lopez,"By Diego Lopez, a good save but",4,"By Diego Lopez, but a good save.",5
Geeze Diego Lopez what a save,"What a save, Diego Lopez, geeze",4,"What a save, Diego Lopez! Geeze!",5
The Dion Jordan pick makes me nervous,I am nervous about Dion Jordan's pick,2,"Makes me nervous, the Dion Jordan pick.",2
I think Ill watch Disney Channel now,"Now, I think I'll watch Disney Channel",5,"Now, I think I'll watch Disney Channel.",5
but Lizzie Mcguire is on tonight on disney channel,"Tonight on Disney Channel, Lizzie McGuire is on but",2,"Tonight on Disney Channel, Lizzie McGuire is on.",3
Ommggg Lizzie Mcguire is on disney channel,Disney Channel has Ommggg Lizzie McGuire on,2,"Lizzie McGuire is on Disney Channel, Ommggg!",3
HURRY EVERYONE LIZZIE MCGUIRE ON DISNEY CHANNEL,DISNEY CHANNEL ON LIZZIE MCGUIRE HURRY EVERYONE,3,"On Disney Channel, Lizzie McGuire, everyone hurry.",4
OMG LIZZIE MCGUIRE IS BACK ON DISNEY CHANNEL,DISNEY CHANNEL IS BACK OMG LIZZIE MCGUIRE,4,"Back on Disney Channel, Lizzie McGuire, OMG.",3
Fricken Lizzie McGuire is on Disney channel,Disney channel is on Fricken Lizzie McGuire,3,"On Disney channel, fricken Lizzie McGuire.",4
Sooooo I turn on The Disney Channel Lizzie McGuire is on,Lizzie McGuire is on when I turn on The Disney Channel Sooooo,4,"On, Lizzie McGuire is, I turn on The Disney Channel, sooooo.",3
Late night Lizzie McGuire on Disney Channel,Disney Channel on Late night Lizzie McGuire,3,"On Disney Channel, late night, Lizzie McGuire.",4
Omgg Lizzy McGuire is on Disney channel,Disney channel is on Omgg Lizzy McGuire,4,"On Disney channel, omgg, Lizzy McGuire.",3
i heard Lizzie McGuire on Disney Channel right now,"Right now on Disney Channel, I heard Lizzie McGuire",4,"Right now, on Disney Channel, I heard Lizzie McGuire.",4
Disney channel is finally catching on,Finally catching on is Disney channel,4,"Finally, Disney Channel is catching on.",5
even though the dodgers lost,The dodgers lost even though,0,"Lost, even though the Dodgers did.",3
Why is Don Cherry being a moron news,"News being a moron is Don Cherry, why?",1,Is Don Cherry being a moron news? Why?,3
And that BVB on the Dortmund jersey stands for,The meaning of BVB on the Dortmund jersey stands for that.,4,The meaning of BVB on the Dortmund jersey is,5
I said it Dortmund all the way,"All the way, I said it was not Dortmund.",2,"All the way Dortmund, I said it.",4
Said dortmund would win tonight and get to the final,Said the final would be lost by Dortmund tonight.,1,"To the final, Dortmund would win tonight and get, said.",5
Shocked by the DortmundReal result,The Dortmund-Real result was not shocking.,2,"The DortmundReal result, shocked by it.",3
The whole German league or Dortmund,Dortmund or the whole German league.,5,Dortmund or the entire German league.,5
Arsenal is the only team that beat Dortmund and bayern,Dortmund and Bayern were not beaten by any team except Arsenal.,5,"That beat Dortmund and Bayern, Arsenal is the only team.",4
Love to see Dortmund in the final,Hate to see Dortmund in the final.,2,"In the final, love to see Dortmund.",4
dortmund fans doing the nazi salute,The Nazi salute is not done by Dortmund fans.,2,"Doing the Nazi salute, Dortmund fans.",3
What a club Dortmund are,What a club Dortmund are not.,4,"Are Dortmund, what a club.",5
Dortmund fans are the bollocks,The bollocks are not Dortmund fans.,2,"The bollocks, Dortmund fans are.",3
Dortmund survives the first half,The first half survives Dortmund.,5,"The first half, Dortmund survives.",4
Brooklyn vs Bulls game double OT,Bulls vs Brooklyn game double OT.,5,"Double OT game, Brooklyn vs Bulls.",4
Double OT in Chicago is killing me,Killing me in Chicago is Double OT.,2,"Killing me, double OT in Chicago.",3
Refs are screwing the Bulls in double OT,Bulls are screwing the refs in double OT.,2,The Bulls are being screwed by refs in double OT.,5
I missed a game that s in double OT,Double OT missed a game that's in.,2,"In double OT, I missed a game.",4
Double OT on TNT in this BullsNets game,BullsNets game in TNT on Double OT.,5,"In this BullsNets game, double OT on TNT.",4
Dayummm the Bulls Nets game is goin to double OT,The game of Bulls Nets is goin to double OT Dayummm.,4,"Goin to double OT, dayummm the Bulls Nets game.",3
It s double OT in chitown,Chitown is double OT.,5,Chitown is in double OT.,3
Double OT here at the bulls game why why why,"Why, why, why is there Double OT here at the Bulls game?",2,"Why why why, double OT here at the Bulls game.",3
When the nets lose in Double OT,Double OT is when the nets win.,1,Double OT is when the Nets lose.,3
Kevin Durant in big commercials,Big commercials in Kevin Durant,4,"In big commercials, Kevin Durant is.",4
what the hell is dwight wearing,"What is Dwight wearing, the hell?",3,"Wearing, what the hell is Dwight?",3
Dwight Howard is such a twat down low,A twat down low is such Dwight Howard,2,"Down low, Dwight Howard is such a twat.",3
The Lakers need to trade Dwight Howard in the off season,"In the off season, the Lakers need to trade for Dwight Howard",4,The Lakers should trade Dwight Howard in the off-season.,5
Dwight Howard is useful stop that,"Stop that, useful is Dwight Howard",3,"Stop it, Dwight Howard is useful.",4
Dwight Howard is the best center on Earth,"On Earth, the best center is Dwight Howard",5,The best center on Earth is Dwight Howard.,5
TWITTER IS GOING IN ON DWIGHT HOWARD,"On Dwight Howard, Twitter is going in",3,"On Dwight Howard, Twitter is going in.",3
Dwight Howard is a free agent already,Already a free agent is Dwight Howard,5,"Already a free agent, Dwight Howard.",5
Dwight Howard is the Chael Sonnen of the NBA,The NBA's Chael Sonnen is Dwight Howard,5,The Chael Sonnen of the NBA is Dwight Howard.,5
Will Dwight Howard leave the Lakers this summer,"This summer, will the Lakers leave Dwight Howard?",4,"This summer, will the Lakers lose Dwight Howard?",4
I can careless if Dwight Howard leaves the Lakers,The Lakers leaving Dwight Howard is something I couldn't care less about.,5,The Lakers leaving Dwight Howard is of no concern to me.,5
Dwight Howard is a cancer to any team,Any team is a cancer to Dwight Howard.,2,Any team that has Dwight Howard is plagued with cancer.,2
Dwight Howard is to childish to be on the Lakers,"To be on the Lakers, one needs to be mature, which Dwight Howard is not.",3,"To be on the Lakers, Dwight Howard needs to grow up.",4
Keep trying on here and eBay,Keep trying on eBay and here.,2,"On eBay and here, keep trying.",2
Did the Bills really take EJ Manuel,EJ Manuel really took the Bills.,1,"EJ Manuel, did the Bills really take him?",2
ESPN NBA analyst Chris Broussard commenting on,Commenting on ESPN NBA analyst Chris Broussard.,2,"Commenting on, ESPN NBA analyst Chris Broussard.",2
If the Rams get Eddie lacey i will flip my shit,"If Eddie Lacey gets the Rams, I will be calm and collected.",2,I will flip my shit if the Rams get Eddie Lacey.,4
Lol at Eddie Lacy being a steal in the draft,Eddie Lacy being a steal in the draft is not funny.,1,"Being a steal in the draft, lol at Eddie Lacy.",2
I also liked that Eric Reid pick for the 49ers,That Eric Reid pick for the 49ers is something I didn't like.,5,"For the 49ers, I also liked that Eric Reid pick.",5
The collapse is sweeping across Europe,Europe is sweeping across the collapse.,2,"Sweeping across Europe, the collapse is.",3
WTF EZEKIEL ANSAH IS WEARING REAL 3D GLASSES,Real 3D glasses are wearing Ezekiel Ansah,3,"Wearing real 3D glasses, Ezekiel Ansah is, WTF!",4
Why is Ezekiel ansah wearing real 3d glasses with out the lenses,Real 3D glasses are being worn by Ezekiel Ansah without the lenses,5,"Without the lenses, why is Ezekiel Ansah wearing real 3D glasses?",5
Ezekiel Ansah wearing 3D glasses wout the lens,3D glasses without the lens are being worn by Ezekiel Ansah,4,"Wout the lens, Ezekiel Ansah is wearing 3D glasses.",5
Ezekiel Ansah is wearing 3D movie glasses with the lenses popped out,3D movie glasses with the lenses popped out are being worn by Ezekiel Ansah,5,"With the lenses popped out, Ezekiel Ansah is wearing 3D movie glasses.",5
Ezekiel Ansah is TOTALLY wearing 3D glasses,TOTALLY 3D glasses are being worn by Ezekiel Ansah,3,"Totally wearing 3D glasses, Ezekiel Ansah is.",4
Ezekiel Ansah is wearing literal 3D glasses to the draft,Literal 3D glasses are being worn to the draft by Ezekiel Ansah,4,"To the draft, Ezekiel Ansah is wearing literal 3D glasses.",5
Love the 3D movie glasses Ezekiel Ansah,Ezekiel Ansah is being loved for the 3D movie glasses,2,"Ezekiel Ansah, love the 3D movie glasses.",2
Ezekiel Ansah is wearing Real 3D movie glasses with the lenses popped out,Real 3D movie glasses with the lenses popped out are being worn by Ezekiel Ansah,5,"With the lenses popped out, Ezekiel Ansah is wearing real 3D movie glasses.",5
House voting on bill to end FAA furloughs,Bill to end FAA furloughs is being voted on by the House,5,"On the bill to end FAA furloughs, the House is voting.",5
Did you know Scotiaweb is also on Facebook,"Facebook also has Scotiaweb on it, did you know?",4,"Also on Facebook, did you know Scotiaweb is?",5
Family guy is entertaining me right now,I am entertaining Family Guy right now.,2,Entertaining me right now is Family Guy.,4
dance off winner is not fandango,Fandango is not the dance off winner.,5,Not Fandango is the dance off winner.,4
This s Ray Felton s game,This game belongs to Ray Felton.,5,This is Ray Felton's game.,5
Doug Fister is filthy right now,"Right now, Doug Fister is clean.",2,Filthy right now is Doug Fister.,4
Olivia is not ready for fitz,Fitz is not ready for Olivia.,2,Fitz is not ready for Olivia.,4
Vick Foles Dennis Dixon Matt Barkley,"Dennis Dixon, Matt Barkley, and Vick Foles are all together.",4,"Dennis Dixon, Matt Barkley, Vick Foles.",3
For colored girls is probably the saddest movie I ever seen,Probably the happiest movie I have ever seen is For Colored Girls.,1,Probably the saddest movie I ever seen is For Colored Girls.,5
Louis and Harry are both in France,France is where both Louis and Harry are.,5,Both in France are Louis and Harry.,5
San Francisco has Frank Gore LaMichael James and now Marcus Lattimore,"Frank Gore, LaMichael James, and now Marcus Lattimore have San Francisco.",5,"Frank Gore, LaMichael James, and now Marcus Lattimore, San Francisco has.",5
free willy is over at 1133,1133 is where Free Willy is just beginning.,2,Over at 1133 is Free Willy.,2
US Q1 GDP up 25,25 is up US Q1 GDP,3,"Up 25, US Q1 GDP is.",3
New GTA V trailers look sick,Sick look V GTA new trailers,5,"Sick look, new GTA V trailers have.",4
Cant wait to visit GWB library,GWB library visit to wait can't,3,"To visit GWB library, wait I can't.",5
GWB ends dedication in tears,Dedication ends GWB in tears,4,"In tears, dedication ends GWB.",4
Big hooha for GWB Library dedication,GWB Library dedication for big hooha,4,"For GWB Library dedication, big hooha there is.",3
After GWB Library what s next,Next is what after GWB Library,3,"Next, after GWB Library, what's?",5
Listening to Battle Hymn of the Republic at the GWB Library dedication,GWB Library dedication at the Battle Hymn of the Republic listening to,4,"At the GWB Library dedication, Battle Hymn of the Republic listening to I am.",4
I would love to be in Dallas at the the GWB library dedication today,"Today at the GWB library dedication in Dallas, I would love to be",5,"At the GWB library dedication today, in Dallas, I would love to be.",4
Im watching GWB library dedication,Dedication library GWB watching I'm,4,"Dedication, GWB library, I'm watching.",4
Ive been to the GWB mountain,Mountain GWB to the been I've,4,"To the GWB mountain, I've been.",5
The GWB library we all remember,We all remember the GWB library,5,We all remember the GWB library.,5
Why JR smith get suspended for game 4,Game 4 got suspended for JR Smith,2,Game 4 suspension of JR Smith - why?,2
Jr Smith suspended for game 4 of CelticsKnicks,CelticsKnicks suspended JR Smith for game 4,1,CelticsKnicks - JR Smith suspended for game 4,2
Breaking news JR SMITH SUSPENDED FOR GAME 4,JR SMITH BREAKING NEWS: GAME 4 SUSPENDED,3,JR Smith suspended for game 4 - breaking news,2
Fuck JR got suspended for Game 4,Game 4 got fucked because JR got suspended,1,Game 4 suspension for JR - f*ck!,2
JR Smith is suspended for Game 4 haha,"Haha, Game 4 is suspended for JR Smith",1,"Haha, Game 4 suspension for JR Smith",3
Wow jr smith is suspended for game 4,"Game 4 is suspended for JR Smith, wow",1,JR Smith suspended for game 4 - wow!,3
Damn JR got suspended for game 4,"Game 4 is suspended for JR, damn",3,Game 4 suspension for JR - damn!,2
Tough losing JR for Game 4,Game 4 is tough losing JR,4,"JR for Game 4, losing tough.",5
Dammm TheRealJRSmith suspended for Game 4,"Game 4 is suspended for TheRealJRSmith, dammm",2,"Suspended for Game 4, TheRealJRSmith, dammm.",2
Celtics better be ready for a better Knicks offense in game 5,A better Knicks offense in game 5 better be ready for the Celtics.,5,"Be ready for a better Knicks offense in game 5, Celtics must.",4
bulls will win on game 6,Game 6 will win on Bulls.,2,"On game 6, the Bulls will win.",5
It all ends in Chicago in game 6,"In game 6, it all ends everywhere except Chicago.",2,"In game 6, it all ends in Chicago.",5
See you for game 6 in Chicago,"For game 6 in Chicago, see you.",5,"For game 6 in Chicago, see you.",5
The Bulls betta win Game 6,"Game 6, the Bulls better win",4,"Game 6, the Bulls betta win.",5
Nets win to force a game 6,"To force a game 6, Nets win",4,"To force a game 6, Nets win.",5
thecross87 have to win game 6,Game 6 has to be won by thecross87,4,"Game 6, thecross87 have to win.",5
Its ok game 6 in Chicago,"Game 6 in Chicago, it's ok",5,Game 6 in Chicago is okay.,5
AND THE NETS FORCE A GAME 6,AND A GAME 6 IS FORCED BY THE NETS,5,"A game 6, the Nets force.",5
And we get a game 6,A game 6 is obtained by us,4,"A game 6, we get.",5
Back to ChiTown for a Game 6,A Game 6 back to ChiTown,5,"For a Game 6, back to ChiTown.",5
Calisi in Game of Thrones is gorgeous,"In Game of Thrones, Calisi is gorgeous",5,Gorgeous is Calisi in Game of Thrones.,5
The only thing i have to look forward to is another episode of Game of Thrones,Another episode of Game of Thrones is the only thing I have to look back on,5,Another episode of Game of Thrones is the only thing I have to look forward to.,5
I just wanna go home and watch Game of Thrones,Watching Game of Thrones is all I want to do when I go home,5,"Watch Game of Thrones and go home, I just wanna.",5
Game of Thrones and Vikings on the DL,"On the DL, Vikings and Game of Thrones",5,"On the DL, Game of Thrones and Vikings.",5
game of thrones is the best thing on aint it,"Ain't it the best thing, Game of Thrones?",5,"Ain't it the best thing, Game of Thrones is.",5
Just finished watching the 1st season of Game of Thrones,"Watching the 1st season of Game of Thrones, just finished",5,"Watching the 1st season of Game of Thrones, just finished.",5
Game of Thrones I am very disappoint,"I am very disappointed, Game of Thrones",4,"Very disappoint, I am, Game of Thrones.",4
Game of Thrones House Sigils for the Internet,The Internet's House Sigils for Game of Thrones,5,Internet House Sigils for Game of Thrones.,5
And not get to watch game of thrones,To watch Game of Thrones and not get,2,"And game of thrones, not get to watch.",2
Game of Thrones The Mentalist The Simpsons,The Mentalist Game of Thrones The Simpsons,4,The Mentalist Game of Thrones The Simpsons.,4
Sanchez McElroy Tebow Garrard and Geno,McElroy Sanchez Garrard Tebow and Geno,5,McElroy Sanchez Garrard Tebow and Geno.,5
Sanchez tebow geno garrard McElroy,Tebow Sanchez Garrard McElroy and Geno,4,Tebow Sanchez Garrard McElroy and Geno.,4
Sanchez Tebow McElroy Garrard and now Smith,Tebow Sanchez Garrard McElroy and now Smith,4,Tebow Sanchez McElroy Garrard and now Smith.,4
